# Data obtained directly from the INDDHsH twitter account @inddhh,,,,,,,,,,,,,
,detentions,,,,wounds,,,Legal Actions,,,,,
DATE,TOTAL,female,male,minors,TOTAL,guns,eye lessions,TOTAL,sexual_abuse,Other tortures,amparo,homicide,frustrated_homicide
191021-1900,1333,294,858,181,,88,,,,,,,
191021-2230,1420,300,868,181,,84,,,,,,,
191022-1500,1692,343,1068,210,226,123,,26,3,,3,,
191022-2200,1894,388,1220,215,269,137,,30,3,18,9,,
191023-1200,2138,407,1355,243,376,173,,44,,35,9,,
191023-2200,2410,442,1565,274,535,210,,55,8,32,10,,
191024-1400,2686,488,1772,297,584,245,,59,9,31,14,,
191024-2200,2840,492,1917,305,582,295,,67,12,36,14,,
191025-1230,2948,509,1995,318,585,317,,67,12,36,14,,
191025-2200,3162,545,2150,343,997,437,,80,15,46,14,,
191026-1800,3163,,,,1051,531,125,,,,,,
191027-1230,3193,549,2177,343,1092,570,126,88,17,51,15,,
191028-1130,3243,552,2220,347,1132,595,127,101,18,54,16,,
191028-2130,3535,593,2441,375,1132,595,127,120,18,76,12,,
191029-2130,3712,597,2555,404,1233,688,140,138,18,92,13,,
191031-2300,4271,656,2989,471,1305,755,146,167,18,120,13,,
191101-2200,4316,664,3022,475,1574,848,157,179,18,132,13,,
191104-1200,4364,670,3060,479,1659,849,160,181,19,133,13,,
191106-1200,5012,786,3524,549,1778,933,177,219,19,168,13,,
191108-1400,5565,849,3941,622,1915,1003,182,262,52,171,13,5,6
191110-1300,5629,861,3981,634,2009,1071,197,283,52,192,13,5,6
191114-1300,6199,938,4382,726,2365,1261,217,335,57,236,14,5,7
191115-1230,6362,951,4499,759,2381,1354,217,346,58,246,14,5,7
191118-1630,6362,951,4499,759,2391,1482,222,384,66,273,14,6,7
191121-1300,6972,1062,4924,833,2535,1552,223,462,74,341,15,6,7
